Al2O3,Ba,Be,CaO,Ce,Ce_Yb,Conf_Max,Cs,Dy,Er,Eu,Fe2O3,FeO,Gd,Hf,Ho,K2O,LOI,La,La_Yb,Label_Source,Li,Li_Class,Li_Label,Lu,MgO,MnO,Na2O,Nb,Nd,P2O5,Pr,Pred_Class,Pred_Label,Prob_enriched,Prob_moderate,Prob_poor,Rb,Rb_Cs,Rb_Sr,RowID_unlabelled,SiO2,Sm,Sn,Sn_W,Source_Sheet,Sr,Ta,Ta_Nb,Tb,Th,TiO2,Tm,Total_Majors,U,W,Y,Yb,Zr,ilr_Al2O3_vs_rest,ilr_CaO_vs_rest,ilr_Fe2O3_vs_rest,ilr_FeO_vs_rest,ilr_K2O_vs_rest,ilr_MgO_vs_rest,ilr_MnO_vs_rest,ilr_Na2O_vs_rest,ilr_P2O5_vs_rest,ilr_SiO2_vs_rest,ilr_TiO2_vs_rest
14.253,532.871883688724,3.122668294088075,1.804,42.46712312968094,60.60345838591687,,6.062002900086536,1.965717510374366,0.8336035545471654,0.749130468159451,2.416,2.1739168,2.557828188453156,2.812603815813935,0.3346045338119283,2.952,0.811,22.99910618779414,32.821280841392785,original,52.32829659802089,0.0,poor,0.1003179469010667,0.691,0.034,3.833,7.899322975588926,16.48325545164735,0.076,4.566570629076453,,,,,,115.0846011111919,18.98458364471404,0.3947699486883887,,72.674,3.079111045344858,4.13308445382171,,Awais et al 2022,291.523206093972,0.928719745518143,0.1175695370841452,0.3635549156401243,10.2061122895119,0.299,0.1145927067369575,102.01691680000002,2.641017923141649,,8.932845463683673,0.7007376189532695,104.6549044773456,2.7169704802033343,1.2217509104380655,1.1551482560386526,1.1969422845221047,2.7179781900736093,0.1441307584014439,-2.2428773234055903,2.33892982280431,-0.6381581726416231,4.139471203716414,-1.2268533039591654
14.197,219.7475410302146,7.258463844287985,1.958,77.23031943048245,13.20646269996185,,11.05800209359031,11.15039961875443,7.102809660351188,0.784318142303532,0.894,0.8044212000000001,8.145677334099256,0.4452739645636939,2.59690352548233,2.459,0.44,37.33575599434307,6.384452020271653,original,78.32571144703655,0.0,poor,0.7596948311342622,0.175,0.023,4.335,11.69114128716087,34.59255570864067,0.041,9.034453131441042,,,,,,211.2367633580189,19.102615605441123,2.014557291889033,,74.789,7.988857847147031,6.278992358706208,,Awais et al 2022,104.8551779631663,2.505852419697217,0.2143377073416371,1.697601399305517,35.46765113697633,0.069,1.03543349689302,100.1844212,12.81345697812361,,76.0480198203467,5.847918642946347,10.85515297223195,3.2359536760364715,1.6031047204757238,0.6850957787266952,0.6639528739004181,3.027246392333613,-0.8808855632703314,-2.0868704624998897,2.8520055368258164,-0.7328566346202248,4.726528057473269,-2.151759348028714
15.315,1193.279831671087,1.819486666713758,1.651,16.39132151891082,103.10944755415794,,0.1688415326052269,0.4029396388020436,0.1811880457659786,0.3354241183886796,0.808,0.7270384000000001,0.7908477314555534,2.610219897592343,0.0739462102779703,0.538,0.694,9.500669083362368,59.763865863419134,original,2.992844524830157,0.0,poor,0.0241523018280733,0.386,0.013,7.066,2.387702743230327,6.288094259715245,0.045,1.882634325649942,,,,,,18.85591323430698,111.67816912912366,0.0161046877063859,,72.872,1.085641117666057,0.3934682385686867,,Awais et al 2022,1170.833832861599,0.1899732274498852,0.0795631818024676,0.0984153156668351,3.906846906481065,0.14,0.023384377092225,100.25503840000002,0.980720624685955,,2.204537728493186,0.1589701226000782,91.23674078836368,3.374760035885604,1.639642169328839,0.6526066630896071,0.627113679489496,1.7174703671358964,0.0402570615290033,-2.812533204936077,3.633667917812093,-0.6099622759514263,4.688722434560597,-1.4238696768148087
15.247,14.40910839673657,12.34890059068436,1.037,38.02519186815096,5.382683490234648,,21.22748284876075,10.14177880376873,6.392316910648238,0.1508682195318284,0.551,0.4957898,6.244142531264642,4.19735865655901,2.145617753291227,4.293,0.857,17.1948538829818,2.4340299566100225,original,86.16799581168377,0.0,poor,0.9565546091347688,0.105,0.016,3.566,29.50446354682413,17.88060953712551,0.031,4.621867792834605,,,,,,355.7623044770904,16.759514399883717,18.05992455493364,,73.712,5.318567515690687,12.60215974245376,,Awais et al 2022,19.69899173138587,3.320956322079542,0.112557759838918,1.440380739753133,12.62513133382784,0.024,1.065423893426782,99.93478980000002,20.44862004492742,,74.76429411316975,7.064355899271597,82.64245003779328,3.485815900228716,0.95239483159831,0.3754411923168474,0.3128375761985532,3.5028445200122804,-1.3153249321252614,-2.814885461625759,2.547338541309204,-1.0851452796234675,4.948770886447698,-3.0006887259664783
14.447,293.8275439100166,2.393769843915774,0.878,22.40467830995251,42.45675768342701,,8.235956971939439,2.094752593024606,0.7041623689863516,0.7491702698971319,0.934,0.8404132000000001,2.573730622841646,1.618687003926723,0.3284530062617281,5.348,0.571,9.686899098879032,18.35662722112016,original,44.11738390363577,0.0,poor,0.0673327522683365,0.246,0.017,3.513,8.390837646636994,9.477008645875422,0.171,2.66145201041036,,,,,,244.6295296819211,29.70262357069049,3.037240354786655,,73.512,2.588040024742245,4.47546690258921,,Awais et al 2022,80.5433555156041,0.7056106302878771,0.0840929904740419,0.440004157573992,5.108228688963411,0.107,0.0921266866876962,100.5844132,3.220477593912145,,9.27922064926356,0.52770582428856,50.44739307624256,3.086052073623932,0.5143595473418969,0.5454114950103501,0.5055657838528597,3.2998938756581597,-0.7432216937682452,-2.48489758484772,2.1802017332962547,0.4501854161839222,4.532882455571219,-1.885688864426365
15.051,22.4385296923159,59.61214345739077,0.694,15.03488082808179,6.080848498481516,,15.66545872498117,3.70383445058225,1.94720643856628,0.0975955528948766,0.901,0.8107198000000001,2.4719759492377,0.4697968009742465,0.6789539535986914,3.984,1.141,6.453013033904988,2.609917236231873,original,110.4020595678592,0.0,poor,0.3329332335194178,0.235,0.033,3.201,35.43551907347911,6.986214289402478,0.092,1.949415474213757,,,,,,317.5715311695996,20.272086297937715,20.21896942199243,,74.304,2.338056209438558,21.74604057932222,,Awais et al 2022,15.70661315824401,5.159739026965384,0.1456092407244309,0.5670815243957322,8.837422014883908,0.122,0.3541496821092883,100.5687198,36.06805058719572,,23.51863518883746,2.472497190455614,8.22726406174517,3.125394492024458,0.2360945587803139,0.5078023054382413,0.4629209713020799,2.8325290242231183,-0.8030217169423741,-2.5053873634545503,1.9983462360544917,-0.6093476250015039,4.528560421806744,-1.7640670339923308
13.528,5.704001199673005,29.21733979813466,0.3,1.564928192332923,14.401465401865204,,50.85658608040554,0.4822968589540261,0.1155844538155688,0.007287420461816,0.084,0.0755832,0.4792806770057853,0.4954306011232743,0.0541749100616815,3.607,0.184,0.6577997968115616,6.053492461538017,original,4.444966444289618,0.0,poor,0.0116769409119393,0.075,0.037,5.204,49.55132106076459,0.7109105391061544,0.157,0.2131498234334023,,,,,,543.0480571595704,10.678028137810855,186.43885392448772,,76.954,0.376001261429472,10.4121257806626,,Awais et al 2022,2.912740803370943,20.34893118508797,0.4106637471912031,0.097870480987386,1.595623391020724,0.009,0.0193179652553331,100.2145832,6.125301828232898,,2.270242540295472,0.1086645107747328,4.643791943187046,3.816386002595823,-0.3854144025894963,-1.123107627141814,-1.386357068277324,3.085878174126253,-1.609193805908305,-1.1342118953188147,2.718164278622802,0.5252677396319659,5.4524270413642695,-3.5228065248610143
14.471,3.771782544016075,24.65127963511731,0.609,9.282049558212467,2.67676958525203,,96.0902573086802,3.656490963830354,1.775189937793662,0.0098514616337512,0.313,0.2816374,2.487425631558164,2.839911608216053,0.610496878056838,3.664,0.436,3.916910189295936,1.1295636806414835,original,90.15951437587246,0.0,poor,0.5154770057493485,0.081,0.023,5.4,33.84615088680082,4.561334464297149,0.038,1.257118771631251,,,,,,564.418057549779,5.873832304732447,199.22270458341345,,74.815,2.197325374445768,9.02075236861732,,Awais et al 2022,2.833101070131594,14.74823388332854,0.4357433119250199,0.6006845854314576,3.65376229060975,0.009,0.3834775881442938,100.1406374,8.952962958522656,,26.37533215231796,3.46763113618482,41.59950188028347,3.623426151176224,0.4396210687699889,-0.015137966286791,-0.1300375613514805,3.3971894782045853,-1.4961732567711488,-2.0804128214432254,2.978349432896908,-0.7911705470639957,5.207455208059756,-3.761594387713816
14.751,1069.419651987111,4.009586251342642,0.3632,4.473122234156821,5.514285714285714,,57.45107110633727,0.7353366272824919,0.5899548872180451,0.2886564983888292,0.1543,0.13883914,0.5119965628356606,1.013458216970999,0.1664515574650913,7.4553,0.5123152709361667,2.235507626208378,2.7558441558441555,original,0.0,0.0,poor,0.1011351235230935,0.061,0.0035,2.6288,3.379598711063373,1.605520085929109,0.1353,0.4656429645542428,,,,,,289.0968575725027,5.032053397880222,7.921997690531177,,73.2413,0.4003265306122449,6.059679484425349,0.6935133831685555,Bhandari et al 2022,36.49292373791622,2.0564141783029,0.6084788029925187,0.1137770139634801,1.011351235230935,0.0255,0.1032421052631579,99.47035441093615,9.392924597207305,8.737653276047261,4.593220193340494,0.8111879699248121,20.8549052631579,3.9236900550767073,0.0519619489576894,-0.4499690914444544,-0.6230897125561584,4.142731736865832,-1.607821060040598,-3.525759731945856,2.2765973398366577,0.9484774980670914,5.327708844566593,-2.5152805361435284
17.2031,224.0050543501611,5.639309129967777,0.1524,55.63416025778733,22.212017167381976,,3.732306766917294,5.364116004296457,2.904577443609023,0.6514337271750806,1.2715,1.1440957,5.979000644468315,5.723157035445758,1.057773576799141,4.766,2.278106508875686,26.13044726100967,10.432618025751076,original,0.6836829215896886,0.0,poor,0.2751931256713212,0.4023,0.0101,0.3711,11.37321589688507,22.44758925886144,0.03,6.181095596133191,,,,,,226.5183415682062,60.69124423963132,18.710708577517305,,73.2627,5.286717937701397,4.689032867883996,0.8205417607223476,Bhandari et al 2022,12.10634758324383,8.103147583243825,0.712476370510397,1.040574006444683,17.9241022556391,0.1685,0.3977400644468314,101.05990220887568,10.19289538131042,5.714557250268529,25.45966401718583,2.504687432867884,141.3181198711063,3.6609696749704383,-0.4925894828228349,1.3301830201044331,1.3954130515973593,3.453407722464904,0.4823696929686574,-3.8315036842151966,0.3917123558806236,-1.3232309171407022,4.812855434962363,-1.0991596285869962
