SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,LOI,Li,Rb,Cs,Be,Ta,Nb,Sn,W,Ba,Sr,Y,Zr,Hf,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Source_Sheet,Li_Class,Li_Label,Total_Majors,ilr_SiO2_vs_rest,ilr_TiO2_vs_rest,ilr_Al2O3_vs_rest,ilr_Fe2O3_vs_rest,ilr_FeO_vs_rest,ilr_MgO_vs_rest,ilr_CaO_vs_rest,ilr_Na2O_vs_rest,ilr_K2O_vs_rest,ilr_P2O5_vs_rest,ilr_MnO_vs_rest,Rb_Sr,Ta_Nb,Rb_Cs,La_Yb,Ce_Yb,Sn_W,RowID_unlabelled,Pred_Class,Pred_Label,Conf_Max,Prob_poor,Prob_moderate,Prob_enriched
73.36,0.09,16.73,1.389197599466548,1.25,0.28,0.66,2.23,2.99,0.07,0.04,1.95,,290.0,10.8,8.6,1.29,18.4,16.2,2.79,100.0,77.2,24.3,46.8,2.86,6.01,4.52,9.18,20.3,2.39,8.58,3.45,0.55,5.07,0.88,4.73,0.8,2.33,0.28,1.93,0.25,"Gao et al., 2019",,,101.03919759946656,4.464182491152303,-2.140239078813915,3.1416674528956854,0.8730623380877596,0.8770869185572052,-0.6032099225209474,0.2255620623276449,1.6374813998049675,2.452620504637029,-1.1298163749110175,-2.7483156015855497,3.756476683937824,0.0701086956521739,26.85185185185185,4.756476683937824,10.518134715025909,5.806451612903225,29,0,poor,0.9495163,0.9495163,0.027784918,0.022698833
75.63,0.05,15.56,1.100244498777506,0.99,0.15,0.75,3.16,2.01,0.08,0.05,1.36,,170.0,11.5,26.6,4.15,21.0,19.6,1.77,91.4,91.7,15.9,28.5,2.58,7.0,5.53,8.71,19.3,2.08,7.57,2.98,0.67,3.54,0.66,3.2,0.47,1.38,0.18,1.16,0.17,"Gao et al., 2019",,,100.89024449877748,4.639169663367366,-2.596987703421554,3.179872689406198,0.7453354811083888,0.7322582759952072,-1.1927291536780693,0.3517947325306937,2.038875762765008,2.109747691115756,-0.9647763260789723,-2.335727121552313,1.8538713195201744,0.1976190476190476,14.782608695652174,7.508620689655173,16.63793103448276,11.073446327683616,30,0,poor,0.9449888,0.9449888,0.02910354,0.025907611
75.42,0.03,15.51,0.24,0.56,0.14,0.61,2.44,2.48,0.02,0.13,1.72,,290.0,8.1,36.8,5.85,24.0,23.6,1.66,53.0,57.0,9.84,26.8,2.26,4.89,1.91,4.76,10.2,1.29,4.32,2.29,0.12,1.96,0.33,1.72,0.26,0.7,0.12,0.84,0.12,"Gao et al., 2019",,,99.3,4.908631063234985,-2.834649710433891,3.452192300077811,-0.5618010785718991,0.268776967951966,-1.187012138082422,0.2078025304924023,1.8044292976271223,2.3482842385778344,-2.5826397076344367,-1.826135166613962,5.087719298245614,0.24375,35.80246913580247,5.666666666666667,12.142857142857142,14.21686746987952,31,0,poor,0.9565986,0.9565986,0.022290654,0.02111077
74.77,0.02,14.47,0.16,0.32,0.12,0.48,4.97,3.02,0.15,0.04,0.74,,456.0,23.0,6.37,3.53,9.83,13.3,0.81,3.36,2.36,2.5,23.0,1.69,0.66,1.22,1.25,2.07,0.32,1.1,0.52,0.05,0.48,0.1,0.52,0.07,0.21,0.03,0.25,0.05,"Gao Li-E, et al., 2021",,,99.26,4.981510844316945,-3.170991068934013,3.434588826640779,-0.9379253478426106,-0.3225018742397992,-1.431809764176694,-0.1755307739629192,2.398299948729171,2.5209628258410834,-0.111965789172083,-2.063175470604431,193.22033898305085,0.3591047812817904,19.82608695652174,5.0,8.28,16.419753086419753,33,0,poor,0.91260344,0.91260344,0.027073458,0.060323115
74.86,0.02,14.26,0.7890642364969993,0.71,0.1,0.5,4.42,3.62,0.18,0.09,0.63,,439.0,16.8,27.1,4.05,11.2,17.3,0.76,5.77,4.8,5.98,22.9,1.76,1.13,1.6,2.05,4.39,0.58,1.94,0.94,0.06,0.91,0.21,1.08,0.16,0.46,0.08,0.63,0.08,"Gao Li-E, et al., 2021",,,100.179064236497,4.709991042884558,-3.4696877919624822,3.088957263017035,0.3836205120813977,0.3221120530517004,-1.7452013788747724,-0.3018992199113617,2.0667672780672373,2.43763102587786,-0.2284621887412237,-1.3759662619767374,91.45833333333334,0.3616071428571428,26.13095238095238,3.253968253968253,6.968253968253968,22.76315789473684,34,0,poor,0.9622374,0.9622374,0.019554334,0.018208174
75.38,0.03,13.97,0.16,0.31,0.11,0.43,4.6,3.45,0.13,0.1,0.82,,477.0,29.9,12.8,5.4,7.95,12.9,0.97,5.03,6.08,2.9,21.4,1.52,0.76,1.52,1.15,2.09,0.29,1.0,0.42,0.05,0.38,0.09,0.55,0.08,0.26,0.05,0.36,0.05,"Gao Li-E, et al., 2021",,,99.48999999999998,4.895885623130983,-2.848055243254494,3.327142512018884,-1.020755474955643,-0.4503631964331246,-1.63914181688328,-0.4460331224798026,2.1034932609024968,2.3834114788361696,-0.6447896464921143,-1.4878475290106852,78.45394736842105,0.679245283018868,15.953177257525084,3.194444444444444,5.805555555555555,13.29896907216495,36,0,poor,0.9436117,0.9436117,0.019275725,0.037112597
74.79,0.02,14.23,0.35,0.63,0.12,0.38,4.5,3.57,0.19,0.46,0.51,,425.0,16.1,48.9,2.45,7.21,8.02,0.78,4.28,3.66,4.4,19.0,1.52,0.41,1.25,0.68,0.51,0.14,0.46,0.2,0.05,0.33,0.11,0.8,0.13,0.38,0.07,0.62,0.08,"Gao Li-E, et al., 2021",,,99.75,4.669795304388641,-3.5127388395976435,3.039142617113334,-0.532066317873826,0.025063879841787,-1.7621497550006648,-0.8223065697361673,1.756285725642413,2.0000283209600767,-0.7640730386378297,-0.0729622731534861,116.12021857923496,0.3398058252427184,26.397515527950308,1.0967741935483872,0.8225806451612904,10.28205128205128,37,0,poor,0.9614445,0.9614445,0.018203355,0.020352108
73.88,0.02,14.4,0.08,0.23,0.11,0.6,4.84,4.15,0.06,0.1,0.92,,571.0,91.9,2.44,3.36,5.47,8.39,0.35,59.5,34.8,4.3,26.8,2.08,,1.74,2.75,5.21,0.62,2.07,0.59,0.17,0.6,0.12,0.77,0.12,0.4,0.06,0.46,0.06,"Gao Li-E, et al., 2021",,,99.39,5.003385075552764,-3.134470004059803,3.4698527360950475,-1.6285492105993278,-0.7176334354820693,-1.625349629285142,-0.064772529494483,2.254834841523872,2.733378945941925,-1.323073403812104,-1.569213832408099,16.408045977011497,0.6142595978062158,6.213275299238302,5.978260869565217,11.326086956521738,23.97142857142857,38,0,poor,0.91674286,0.91674286,0.042894837,0.040362295
73.91,0.06,14.71,0.922427206045788,0.83,0.19,0.71,4.11,3.96,0.17,0.04,0.78,,454.0,20.8,1.44,3.92,9.86,13.7,0.71,127.0,45.9,7.0,31.7,1.68,,3.12,6.27,12.7,1.56,5.73,1.55,0.28,1.47,0.26,1.35,0.21,0.55,0.09,0.64,0.09,"Gao Li-E, et al., 2021",,,100.3924272060458,4.541349862400394,-2.4887957291602283,3.048084935493489,0.4706035504580858,0.4207415478340588,-1.1067052816078744,0.1345892035098826,2.128008229317271,2.7043161958530515,-0.0312622250910268,-2.10040021153895,9.891067538126364,0.3975659229208925,21.82692307692308,9.796875,19.84375,19.295774647887324,39,0,poor,0.9619919,0.9619919,0.020929467,0.017078608
74.64,0.06,14.38,0.8335185596799288,0.75,0.19,0.63,4.28,3.61,0.15,0.05,0.64,,425.0,21.3,3.08,4.54,10.2,15.9,0.84,133.0,39.2,6.9,35.4,1.83,,4.28,8.49,17.8,2.13,7.69,1.89,0.28,1.67,0.29,1.4,0.21,0.61,0.1,0.69,0.09,"Gao Li-E, et al., 2021",,,100.21351855967993,4.593999958037032,-2.4414285726794933,3.076534799177895,0.4189764230776705,0.3622018878541028,-1.0648278527636363,0.0531840942381224,2.207277177265344,2.653000315562972,-0.1437934551990198,-1.8027299686247684,10.841836734693876,0.4450980392156863,19.953051643192488,12.304347826086955,25.797101449275367,18.92857142857143,40,0,poor,0.9547833,0.9547833,0.0266078,0.018608836
