fold,acc,precision_macro,recall_macro,f1_macro,balanced_accuracy
1,0.963855421686747,0.7775263363246196,0.8151300236406619,0.7943019943019943,0.8151300236406619
2,0.9799196787148594,0.8971509971509972,0.9216706067769898,0.9087270414843077,0.9216706067769898
3,0.9879518072289156,0.9033374033374034,0.9319088319088319,0.905982905982906,0.9319088319088319
4,0.9879032258064516,0.9379633242294186,0.9638176638176638,0.9502396247578261,0.9638176638176638
5,0.967741935483871,0.8582633053221288,0.7452991452991453,0.7848264729620662,0.7452991452991453
