,acc,precision_macro,recall_macro,f1_macro,balanced_accuracy
mean,0.977474413784169,0.8748482732729135,0.8755652542886585,0.8688156078978201,0.8755652542886585
std,0.011232912509549841,0.061317151464235414,0.09180205105215966,0.07451619706120456,0.09180205105215966
