SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,LOI,Li,Rb,Cs,Be,Ta,Nb,Sn,W,Ba,Sr,Y,Zr,Hf,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Source_Sheet,Li_Class,Li_Label,Total_Majors,ilr_SiO2_vs_rest,ilr_TiO2_vs_rest,ilr_Al2O3_vs_rest,ilr_Fe2O3_vs_rest,ilr_FeO_vs_rest,ilr_MgO_vs_rest,ilr_CaO_vs_rest,ilr_Na2O_vs_rest,ilr_K2O_vs_rest,ilr_P2O5_vs_rest,ilr_MnO_vs_rest,Rb_Sr,Ta_Nb,Rb_Cs,La_Yb,Ce_Yb,Sn_W
73.29,0.09,14.91,0.7,0.27,0.19,0.63,3.8,4.8,0.05,0.02,1.07,,484.0,91.4,20.1,2.07,9.55,17.0,2.2,117.0,48.0,0.65,38.7,2.08,3.62,1.46,4.18,8.7,0.99,3.42,0.9,0.03,0.61,0.06,0.2,,0.05,,0.05,,"Gao et al., 2017",,,99.82,4.758398274439595,-1.8169405866798116,3.377686083547606,0.5321190755632922,-0.4150683248799615,-0.8588327159638698,0.2969208270857102,2.372800175643326,3.3330270491475518,-0.8765499820848629,-2.8140598844377718,10.083333333333334,0.21675392670157065,5.295404814004376,83.6,173.99999999999997,7.727272727272727
72.85,0.05,14.65,0.34,0.29,0.15,0.77,4.6,5.0,0.08,0.02,0.55,,583.0,36.5,16.8,2.54,13.7,9.18,0.51,148.0,50.0,1.97,33.9,2.0,2.32,5.63,2.43,4.27,0.56,1.93,0.58,0.02,0.55,0.09,0.39,0.05,0.13,,0.1,,"Gao et al., 2017",,,99.34999999999998,4.861900412189296,-2.3137199798022148,3.4295139681474622,-0.15721620681204249,-0.3483137335932727,-1.1142647185979955,0.47346427098109356,2.5782704434886083,3.424813618616248,-0.22110616467304195,-2.3434833980174936,11.66,0.1854014598540146,15.972602739726028,24.3,42.699999999999996,18.0
73.63,0.05,14.84,0.3,0.4,0.15,0.68,4.36,4.16,0.09,0.05,0.71,,564.0,58.2,17.8,1.09,11.2,22.0,2.1,107.0,29.0,1.35,70.9,4.05,3.23,2.28,3.85,7.47,0.93,3.13,0.97,0.03,0.71,0.08,0.31,0.05,0.11,,0.1,,"Gao et al., 2017",,,99.41999999999999,4.773140666806643,-2.4221212431782795,3.3232547959741656,-0.42244069694608183,-0.17145765435901633,-1.2573989221612791,0.16794427084554026,2.283146453745098,2.8933081437836483,-0.6032556940303858,-1.8761253853024795,19.448275862068964,0.09732142857142859,9.690721649484535,38.5,74.69999999999999,10.476190476190476
73.3,0.08,14.8,0.43,0.4,0.17,0.79,3.92,4.63,0.09,0.02,0.72,,489.0,43.4,16.6,1.15,8.99,17.1,1.98,142.0,42.0,1.06,42.5,2.14,3.82,1.66,4.72,9.64,1.13,4.05,1.15,0.045,0.81,0.1,0.31,,0.08,,0.06,,"Gao et al., 2017",,,99.35,4.751365391674177,-1.948319707898226,3.3487897203406005,-0.009188439656732866,-0.08773275057669759,-1.0255300849409745,0.46943702725296993,2.3658230730519887,3.2464819265699463,-0.2348914285510816,-2.5339305418927336,11.642857142857142,0.1279199110122358,11.267281105990783,78.66666666666667,160.66666666666669,8.636363636363637
73.41,0.07,14.81,0.4,0.4,0.17,0.8,3.95,4.62,0.09,0.02,0.79,,490.0,41.2,16.2,0.98,8.46,16.9,1.83,106.0,41.0,5.18,40.5,1.96,6.57,1.76,7.17,16.7,1.92,6.97,2.33,0.19,2.08,0.29,1.18,0.17,0.4,0.05,0.27,,"Gao et al., 2017",,,99.53,4.76101359862064,-2.0793722817144467,3.3453720794203647,-0.09043354397277766,-0.10254200037008344,-1.0426303336503866,0.462983105639107,2.3523789670120956,3.217825659089034,-0.27276941261871174,-2.599537134786155,11.951219512195122,0.11583924349881795,11.893203883495145,26.555555555555554,61.85185185185185,9.234972677595627
73.2,0.09,14.8,0.39,0.48,0.17,0.88,3.87,4.59,0.1,0.02,0.81,,450.0,18.7,12.9,0.95,8.7,13.9,1.76,149.0,52.0,6.47,44.4,2.1,8.21,2.08,9.57,20.9,2.5,9.18,2.87,0.27,2.65,0.34,1.47,0.2,0.47,0.06,0.33,0.05,"Gao et al., 2017",,,99.4,4.70549578026679,-1.8736036385056045,3.3072372222014312,-0.15920678079377457,0.041452296995518965,-1.0732898298440636,0.5311133713982253,2.306384966293611,3.1745515645094313,-0.19694965070404621,-2.6172157251140993,8.653846153846153,0.10919540229885058,24.064171122994654,29.0,63.33333333333333,7.8977272727272725
73.77,0.06,14.75,0.32,0.41,0.14,0.69,3.99,4.53,0.05,0.02,0.65,,510.0,56.6,19.5,3.79,15.5,18.6,1.78,112.0,31.0,4.14,17.6,1.0,6.22,3.16,6.44,13.9,1.63,5.57,1.86,0.14,1.73,0.24,0.99,0.13,0.25,,0.2,,"Gao et al., 2017",,,99.38000000000001,4.89548801653702,-2.098868285091094,3.4820283837470107,-0.1700208302062418,0.07216250335531806,-1.0772824831401562,0.47263100309672723,2.5408398343712264,3.4267770788494514,-0.6730620654545504,-2.4616084741077304,16.451612903225808,0.24451612903225806,9.010600706713781,32.2,69.5,10.449438202247192
74.74,0.06,16.26,0.22,0.09,0.17,0.53,2.85,2.63,0.02,0.12,1.63,,219.0,11.4,139.0,17.4,19.3,23.7,1.82,78.0,74.0,4.76,56.7,8.89,7.75,2.11,7.91,17.7,2.17,6.45,5.21,0.14,3.4,0.46,1.21,0.09,0.16,,0.18,,"Gao et al., 2017",,,99.32,4.990561331402162,-2.00842156952454,3.68475814330237,-0.4441617532120266,-1.4591635913076773,-0.9979506037642923,0.06481608604482934,1.9601368889383322,2.437762803630335,-2.528021400260667,-1.8447309659801594,2.9594594594594597,0.9015544041450776,19.210526315789473,43.94444444444445,98.33333333333333,13.021978021978022
72.88,0.03,16.16,0.32,0.14,0.13,1.02,7.21,0.97,0.02,0.01,0.66,,103.0,5.0,61.0,45.3,40.6,4.09,1.04,13.0,125.0,2.83,43.9,3.97,1.0,19.1,0.23,0.5,0.05,0.17,0.15,0.01,0.19,0.07,0.41,0.08,0.23,,0.26,,"Gao et al., 2017",,,99.55,5.223603914844678,-2.4536838947186745,3.916640652001383,0.21905645808107876,-0.63536989231304,-0.8137077152593503,1.2938506787681123,3.7711384040540934,2.5522724201530664,-1.1444670830592167,-2.9625332789172614,0.824,1.1157635467980294,20.6,0.8846153846153846,1.923076923076923,3.9326923076923075
74.16,0.03,14.65,0.8779728828628585,0.79,0.15,0.76,4.41,3.87,0.04,0.08,0.61,,408.0,15.6,11.4,1.77,11.6,9.88,1.09,6.05,9.57,29.7,61.3,3.54,4.94,3.63,6.06,12.9,1.47,5.3,2.38,0.08,3.17,0.75,4.93,0.94,3.33,0.49,3.31,0.53,"Gao et al., 2017",,,100.42797288286286,4.711392786172976,-3.033043536447799,3.1727293408206,0.5619064331215908,0.5242692856244642,-1.1891405362069207,0.3705502609252761,2.4196815907815084,2.9729683064469716,-1.3952810758578849,-1.436439570756674,42.63322884012539,0.15258620689655172,26.153846153846153,1.8308157099697884,3.897280966767372,9.064220183486238
